hostname,sy_pnum,pl_name,discoverymethod,pl_controv_flag,st_mass,pl_orbper,pl_orbeccen,pl_msinie,st_masserr1,pl_orbpererr1,pl_orbeccenerr1,pl_msinieerr1,st_masserr2,pl_orbpererr2,pl_orbeccenerr2,pl_msinieerr2
Kepler-399,3,Kepler-399 b,Transit,0,0.902,14.425281,0.0,,0.065,0.000144,,,-0.033,-0.000144,,
Kepler-198,3,Kepler-198 b,Transit,0,0.995,17.790037,0.0,,0.008,3.5e-05,,,-0.023,-3.5e-05,,
Kepler-372,3,Kepler-372 d,Transit,0,1.202,30.092568,0.0,,0.0082,0.00068,,,-0.0082,-0.00068,,
Kepler-250,3,Kepler-250 b,Transit,0,0.806,4.148141,0.0,,0.02,4.6e-05,,,-0.029,-4.6e-05,,
Kepler-326,3,Kepler-326 b,Transit,0,0.91,2.248329,0.0,,0.011,4e-06,,,-0.01,-4e-06,,
Kepler-325,3,Kepler-325 c,Transit,0,0.914,12.762172,0.0,,0.014,6.4e-05,,,-0.016,-6.4e-05,,
Kepler-46,3,Kepler-46 d,Transit,0,0.883,6.766589,0.0,,0.02,2.2e-05,,,-0.025,-2.2e-05,,
Kepler-142,3,Kepler-142 c,Transit,0,0.978,4.761702,0.0,,0.035,5e-06,,,-0.031,-5e-06,,
Kepler-374,3,Kepler-374 d,Transit,0,1.033,5.028219,0.0,,0.033,4e-05,,,-0.029,-4e-05,,
Kepler-256,4,Kepler-256 b,Transit,0,1.037,1.620493,0.0,,0.024,9e-06,,,-0.028,-9e-06,,
Kepler-327,3,Kepler-327 d,Transit,0,0.591913,13.969457,0.0,,0.020356,3.1e-05,,,-0.020356,-3.1e-05,,
Kepler-403,3,Kepler-403 c,Transit,0,1.299,54.280749,0.0,,0.0505,0.000562,,,-0.0505,-0.000562,,
Kepler-250,3,Kepler-250 d,Transit,0,0.806,17.648312,0.0,,0.02,8.1e-05,,,-0.029,-8.1e-05,,
Kepler-130,3,Kepler-130 d,Transit,0,0.927,87.517905,0.8,,0.0265,0.000744,0.09,,-0.0265,-0.000744,-0.4,
Kepler-255,3,Kepler-255 b,Transit,0,0.867,5.714606,0.0,,0.064,5.2e-05,,,-0.032,-5.2e-05,,
Kepler-381,3,Kepler-381 b,Transit,0,1.144,5.629021,0.0,,0.032,2.8e-05,,,-0.033,-2.8e-05,,
